name,gender,function,country_code,country,height_cm,weight,disciplines,events,birth_date,year,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
A'Ja WILSON,Female,Athlete,USA,United States of America,193,,Basketball,Women,1996-08-08,1996,"COLUMBIA, SC",United States,"LAS VEGAS, NV",United States,,"Playing card games, karaoke","Athlete, Business Owner","Majored in Broadcasting and Communications - University of South Carolina, Columbia, SC, USA","Father, Roscoe C. Wilson Jr. Mother, Eva Rakes Wilson. Older brother, Renaldo",English,Club: Becky Hammon (USA)<br>National: Cheryl Reeve (USA),Was inspired to try the sport after watching the US women's basketball team at the 2008 Olympic Games in Beijing,,,,"Father, Roscoe C. Wilson Jr. (basketball), played professionally for 10 years in Sweden, Venezuela, Brazil, Colombia and Argentina. Briefly played in preseason games for New York Nets (now Brooklyn Nets) in the National Basketball Association",,
Aaliyah EDWARDS,Female,Athlete,CAN,Canada,191,,Basketball,Women,2002-07-09,2002,"KINGSTON, ON",Canada,"KINGSTON, ON",Canada,,,Athlete,"Studied Communications at the University of Connecticut (Storrs, USA)","Father, Stanford. Mother, Jacqueline. Brother, Jermaine (deceased)",English,National: Victor Lapena (ESP).<br>Club: Eric Thibault (USA),Her family were all involved in basketball,"Basketball player Kobe Bryant (USA), five-time National Basketball Association (NBA) champion with the Los Angeles Lakers (2000-02, 2009, 2010),  two-time Olympic champion (2008, 2012). Died in a helicopter crash in 2020",,"""You want something? Go get it."" (myInfo)",,"She has worn purple and gold braids in her hair since she was in grade eight in honour of former LA Lakers player Kobe Bryant. She continues to wear them in memory of Bryant and her brother Jermaine, who passed away when Aaliyah was 15. Before every free throw, she touches her chest and points to the sky in memory of her brother",
Aaliyah Nickole BUTLER,Female,Athlete,USA,United States of America,,,Athletics,"Women's 400m, Women's 4 x 400m Relay",2003-11-05,2003,,United States,"FORT LAUDERDALE, FL",United States,,,Student athlete,"Studying Entertainment and Media Studies at the University of Georgia (Athens, GA, USA)","Father, Nickholas Butler. Mother, Lashelle Oliver. Brother, Daeqwan",English,Personal: Caryl Smith Gilbert (USA),"One day her mother just put her in track and she started winning races. ""After that, I just kept running and running and running and she never took me out.” (bloorweststreetfest.ca, 24 Jun 2024)",,,,"Brother, Daeqwan Butler (athletics), competed in the 400m for Florida State University (Tallahassee, FL, USA)",,
Aaron BROWN,Male,Athlete,CAN,Canada,,,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",1992-05-27,1992,"TORONTO, ON",Canada,"ORLANDO, FL",United States,"Kingsley, AB, Smoov","Enjoys playing basketball, collecting shoes, travelling, music, art, eating poorly in the off-season. Collects mascot dolls from track meetings",Athlete,"Graduated in 2014 with a major in Political Science and minor in Business from the University of Southern California (Los Angeles, CA, USA)","Wife, Preeya Milburn. Two children (son Kingsley, daughter Autumn Sky) Father, Ian. Mother, Sonia. Two siblings",English,"Personal: Dennis Mitchell (USA), three-time Olympic medallist, 100m (1992 bronze), 4x100m (1992 gold, 1996 silver)",Wanted to compete for Team Canada since watching the Beijing 2008 Olympic Games 100m final,"Basketball player Lebron James (USA), four-time National Basketball Association (NBA) champion with the Miami Heat (2012, 2013), Cleveland Cavaliers (2016) and Los Angeles Lakers (2020), two-time Olympic gold medallist (2008, 2012)",,"""To be #1, you must train like you’re #2."" (olympic.ca)",,,
Aaron CHIA,Male,Athlete,MAS,Malaysia,168,,Badminton,Men's Doubles,1997-02-24,1997,MALACCA,Malaysia,KUALA LUMPUR,Malaysia,,"Singing, basketball, exercise",Athlete,,"Wife, Goh Mui Kee (married September 2022). Two daughters. Parents, Chan Mee Kee and Chia Boon Foo. Middle of three children","Cantonese, English, Hollien, Malay, Mandarin",National: Flandy Limpele (INA),"His interest began at age four, before he started to play, when he often followed his father to the court","Badminton player Hendra Setiawan (INA), 2008 Olympic gold medallist (doubles with Markis Kido), three-time Olympian (2008-2020); five-time Asian Games medallist (two gold, three bronze)",,"""I always remind myself that there are only two options, to succeed or to fail. Whichever path we go down is up to ourselves and not anyone else."" (myInfo)",,Listens to music before a match,
Aaron CUMMINGS,Male,Athlete,USA,United States of America,195,90.0,Rugby Sevens,Men,1997-07-01,1997,"GRAND HAVEN, MI",United States,"CHULA VISTA, CA",United States,AC,,Athlete,"Studied Business Administration at Davenport University (Kent County, MI, USA)",,English,National: Mike Friday (GBR),,,,,,,Rugby union (15-a-side): Played for the Dallas Jackals in Major League Rugby
Aaron FARA,Male,Athlete,AUT,Austria,,,Judo,"Men -100 kg', 'Mixed Team",1997-06-21,1997,WIENER NEUSTADT,Austria,ERLACH,Austria,,Boxing,"Athlete, massage therapist",,,"English, German","Club: Adolf Zeltner (AUT)</p><p>National: Yvonne Boenisch (GER)</p><p>National: Robert Krawczyk (POL)</p><p>Technical coach: Hitoshi Kubo (JPN)</p><p>Junior coach: Felipe Kitadai (BRA)</p><p>""We have absolutely top people. I rely 100 per cent on their guidance."" (EJU.net 5 Apr 2023)","Had too much energy and always wanted to fight. (Athlete, 26 May 2024)","Judoka Yvonne Boenisch (GER), 2004 Olympic -57kg champion, two-time world championship silver medallist (2003, 2005)","""My father. He always has everything under control. I can always rely on him and I love him so much."" (Athlete, 23 May 2024)</p><p>""Yvonne (Boenisch) was probably the only one who still believed in me and also kept telling me that."" (EJU.net 5 Apr 2023)","""Do not throw away your confidence; it will be richly rewarded.“ Hebrews‬ ‭10‬:‭35‬",,"""I am a Christian believer and organise my life according to the Bible."" (Athlete, 23 May 2024)</p><p>""Religion, i.e. the Free Evangelical Congregation, determines my life away from judo."" (EJU.net 5 Apr 2023)",
Aaron Ghebre OWUSU,Male,Athlete,ERI,Eritrea,,,Swimming,Men's 50m Freestyle,2006-10-13,2006,,,,,,,,,,,,,,,,,,
Aaron GRANDIDIER,Male,Athlete,FRA,France,186,90.0,Rugby Sevens,Men,2000-05-18,2000,LONDON,Great Britain,BRIVE-LA-GAILLARDE,France,"Az, Aza",Music,Athlete,,,"English, French",National: Jerome Daret (FRA),"He initially was not very good at rugby and gave it up in favour of basketball. But he returned to the sport when he was 15 and credits his high school coach Mike Perks for putting him on the path to the elite ranks. ""It’s thanks to him that I am where I am today."" (actu.fr, 7 Dec 2022)","Rugby sevens player Jerry Tuwai (FIJ), two-time Olympic champion (2016, 2020), 2022 World Cup champion, two-time Commonwealth Games silver medallist (2018, 2022).</p><p>Rugby sevens player Dan Norton (GBR), Olympic silver medallist (2016), all-time leading try scorer in the sevens series with 358 tries between 2009 and 2022",,,,,
Aaron Marquel BROOKS,Male,Athlete,USA,United States of America,,,Wrestling,Men's Freestyle 86kg,2000-06-15,2000,,,,,,,,,,,,,,,,,,
