name,gender,function,country_code,country,height_cm,weight,disciplines,events,birth_date,year,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
Lachlan BAYLISS,Male,Alternate Athlete,NZL,New Zealand,178,,Football,Men,2002-07-24,2002,,,,,,,,,,,,,,,,,,
Lachlan EDWARDS,Male,Athlete,AUS,Australia,,,Water Polo,Men,1995-02-06,1995,"MELBOURNE, VIC",Australia,,,Lachy,,Athlete,"Studied Business at University of Southern California (Los Angeles, USA)","Father, Robert. Mother, Lyn. Five older brothers, Anthony, Luke, Blake, Gabe and Josh",English,National: Tim Hamill (AUS),His older brothers were playing the sport,,,,"Older brother, Blake (water polo), represented Australia at Tokyo 2020",,
Lachlan KENNEDY,Male,Athlete,AUS,Australia,,,Athletics,Men's 4 x 100m Relay,2003-11-04,2003,LAMBETH,Great Britain,,Australia,,,Athlete,"Pursuing a Bachelor of Engineering and Design at University of Queensland (Brisbane, QLD, AUS)",,English,Personal: Russel Hansen (AUS),"""Throughout all my younger years athletics was never my main thing, I was always faster than most but never thought anything of it. This was until my footy coach in 2020 (year 11) told me to run in the 4x100m relay for my school as he believed I was well and truly fast enough.” (athletics.com.au)</p><p>Despite wearing a $20 (Australian dollars) pair of spikes and arriving 30 minutes late on trial day, he became the fastest at his school, clocking 11.6 on a grass track",,,,,,
Lachlan Thomas SHARP,Male,Athlete,AUS,Australia,,,Hockey,Men,1997-07-02,1997,"LITHGOW, NSW",Australia,,,,,,,,,,,,,,,,
Lada VONDROVA,Female,Athlete,CZE,Czechia,,,Athletics,Women's 400m,1999-09-06,1999,NOVE MESTO NA MORAVE,Czechia,,,,"Watching football, supporting football clubs Real Madrid and Chelsea",Athlete,Social Pedagogy at University of Hradec Kralove (CZE),,Czech,Personal: Jan Volejnik (CZE),,,,,,,
Lady ANDRADE,Female,Alternate Athlete,COL,Colombia,170,,Football,Women,1992-01-10,1992,BOGOTA,Colombia,,,Chuchú. Princesa del balón,,Athlete,,,"English, Spanish",National: Ángelo Marsiglia (COL),,,,,,,Futsal: Won the 2015 Copa América de Futsal and was named Player of the Tournament
Laelys ALAVEZ,Female,Athlete,FRA,France,,,Artistic Swimming,Team,2007-02-01,2007,,,PARIS,France,,,,,,,,,,,,,,
Laerke OLSEN,Female,Athlete,DEN,Denmark,,,Judo,Women -70 kg,1998-06-21,1998,RUDERSDAL,Denmark,COPENHAGEN,Denmark,,,,,,,,,,,,,,
Laeticia AMIHERE,Female,Athlete,CAN,Canada,186,,Basketball,Women,2001-07-10,2001,"MISSISSAUGA, ON",Canada,"COLUMBIA, SC",United States,,,Athlete,"Studied Business Management at the University of South Carolina (Columbia, USA)","Father, Anthony. Mother, Georgette. Brothers, Benson and Kofi","English, French",National: Victor Lapena (ESP).<br>Club: Tanisha Wright (USA),,,,,,,
Laeticia BAPTE,Female,Athlete,FRA,France,176,,Athletics,Women's 100m Hurdles,1999-02-08,1999,"FORT-DE-FRANCE, MARTINIQUE",France,GUADELOUPE,France,,,,,,French,Ketty Cham (FRA),,,,,,,
Laetitia AOUN,Female,Athlete,LBN,Lebanon,,,Taekwondo,Women -57kg,2001-04-14,2001,,Lebanon,BEIRUT,Lebanon,,,"Athlete, student","Studying medicine at Lebanese American University (Beirut, LBN)",,"English, French",National: Ralph Harb (LBN),,"Taekwondoin Jade Jones (GBR), two-time Olympic champion (2012, 2016) and 2010 Youth Olympic champion",,,,,
Laetitia GUAPO,Female,Athlete,FRA,France,182,,3x3 Basketball,Women,1995-10-25,1995,CLERMONT-FERRAND,France,,,"Laeti, Guapa, Guepe (French for wasp)","Cooking, reading, shopping, running, sports, watching films and TV","Athlete, business manager","Studied Sport Science at Jean Monnet University (Saint-Etienne, FRA) and received a Master's in Education","Father, Jean. Mother, Valerie","English, French, Spanish",National: Yann Julien (FRA).<br>Club: Olivier Lafargue (FRA),"She followed her mother into the sport. ""My mum played basketball, my dad played football. I chose basketball."" She believes 3x3 basketball suits her attributes. ""When there is a tight game, I know I can put it into the next gear in the last three minutes, when the opponents are unable to anymore. That's often when we make the difference."" (myInfo)",,,"""Make your life a dream, and the dream a reality."" - French writer Antoine de Saint-Exupery (myInfo)",,"While playing, she wears a necklace that was a gift from her family on her 18th birthday","Basketball: Played at the youth international level for France and won silver at the 2015 U20 European Championship in Spain. Has played at club level in France, winning the Eurocup and European Super Cup in 2022 with Tango Bourges Basket"
LAGAET,Male,Athlete,FRA,France,,,Breaking,B-Boys,1988-05-28,1988,FORT-DE-FRANCE (MARTINIQUE),France,PARIS,France,,Travelling,,,,French,,Inspired by seeing B-boy Magnum perform flares at school,,,,,,
