birth_country,number_athletes
United States,607
France,466
Japan,352
Australia,340
Germany,329
China,313
Italy,296
Great Britain,296
Spain,280
Canada,247
Brazil,224
Netherlands,214
New Zealand,166
Poland,144
Hungary,125
Belgium,124
Argentina,118
South Africa,105
Sweden,97
Ukraine,94
Korea,94
Denmark,90
Switzerland,87
Czechia,81
Norway,77
Greece,77
Egypt,77
Ireland,75
India,75
Slovenia,71
Mexico,69
Colombia,69
Kenya,66
Türkiye,64
Serbia,63
Cuba,59
Uzbekistan,58
Romania,56
Israel,54
Austria,52
Portugal,51
Finland,51
Jamaica,50
Russian Federation,48
Croatia,48
Kazakhstan,44
Ethiopia,44
Nigeria,41
Lithuania,41
Chinese Taipei,37
IR Iran,32
Ecuador,32
Chile,32
Dominican Republic,31
Thailand,30
Indonesia,28
Bulgaria,28
Venezuela,27
Algeria,27
Morocco,25
Mongolia,25
Republic of Moldova,24
"Hong Kong, China",24
Georgia,24
Slovakia,22
Malaysia,21
Zambia,20
Latvia,20
Estonia,20
Paraguay,18
Uganda,17
Singapore,17
Angola,17
Peru,16
Fiji,16
Eritrea,16
Azerbaijan,15
Tunisia,14
Puerto Rico,14
Vietnam,13
Bosnia & Herzegovina,13
Belarus,13
Iraq,12
Guatemala,12
Côte d'Ivoire,12
Yugoslavia,10
Montenegro,10
Cyprus,10
Armenia,10
Philippines,9
Mauritius,9
Kyrgyzstan,9
Jordan,9
Guinea,9
Botswana,9
Bahamas,9
Zimbabwe,8
South Sudan,8
Luxembourg,8
Cameroon,8
Uruguay,7
Tajikistan,7
Sudan,7
Senegal,7
Mali,7
Somalia,6
Saudi Arabia,6
Iceland,6
Burundi,6
Trinidad and Tobago,5
Tanzania,5
Syria,5
Suriname,5
Panama,5
Pakistan,5
DR Congo,5
DPR Korea,5
Cambodia,5
"Virgin Islands, B",4
Sri Lanka,4
Qatar,4
Nepal,4
Mozambique,4
Kosovo,4
Ghana,4
Gambia,4
Costa Rica,4
Burkina Faso,4
Bermuda,4
Aruba,4
Afghanistan,4
UA Emirates,3
Sao Tome & Principe,3
Monaco,3
Maldives,3
Malawi,3
Lebanon,3
Kuwait,3
Guam,3
Grenada,3
El Salvador,3
Congo,3
Cabo Verde,3
Turkmenistan,2
Togo,2
Papua New Guinea,2
Oman,2
Nicaragua,2
Netherlands Antilles,2
Namibia,2
Marshall Islands,2
Madagascar,2
Liberia,2
Lesotho,2
Haiti,2
Faroe Islands,2
Djibouti,2
Bolivia,2
Benin,2
Barbados,2
Bangladesh,2
Antigua and Barbuda,2
Albania,2
Yemen,1
"Virgin Islands, US",1
Vanuatu,1
Tuvalu,1
StVincent&Grenadines,1
Solomon Islands,1
Samoa,1
Saint Lucia,1
Rwanda,1
North Macedonia,1
Myanmar,1
Martinique,1
Malta,1
Libya,1
Lao PDR,1
Kiribati,1
Honduras,1
Guinea-Bissau,1
German Dem. Republic,1
Gabon,1
French Polynesia,1
Eswatini,1
Equatorial Guinea,1
Dominica,1
Curaçao,1
Chad,1
Cayman Islands,1
Brunei Darussalam,1
Bhutan,1
Bahrain,1
Anguilla,1
Andorra,1
