country,number_athletes
SLO,90
COL,88
ISR,87
UZB,86
NGR,85
AUT,81
KAZ,79
CRO,73
POR,73
KEN,70
JAM,63
CUB,61
MAR,60
TPE,60
DOM,57
FIN,56
PUR,51
THA,51
LTU,50
CHI,48
AZE,47
BUL,46
ALG,45
ECU,40
IRI,39
EOR,37
HKG,34
FIJ,33
ETH,32
MGL,32
VEN,32
AIN,31
INA,29
LAT,29
GEO,28
PAR,28
SVK,28
ZAM,28
TUN,27
MAS,26
PER,26
MDA,25
UGA,25
URU,25
ANG,24
EST,24
GUI,24
SAM,24
MLI,23
SGP,23
IRQ,22
PHI,22
MNE,19
BAH,18
TTO,17
GUA,16
KGZ,16
PRK,16
VIE,16
ARM,15
CYP,15
BRN,14
QAT,14
SSD,14
TJK,14
BOT,13
CIV,13
ERI,13
LUX,13
MRI,13
UAE,13
JOR,12
SEN,11
LBN,10
KOS,9
KSA,9
KUW,9
ALB,8
BER,8
BUR,8
ESA,8
GHA,8
GUM,8
LBR,8
PAN,8
PLE,8
RWA,8
BDI,7
CPV,7
DJI,7
GAM,7
HAI,7
MAD,7
MKD,7
MOZ,7
NCA,7
NEP,7
NIG,7
PAK,7
TAN,7
ZIM,7
AFG,6
ARU,6
CMR,6
COD,6
CRC,6
GBS,6
GRN,6
LBA,6
MON,6
PNG,6
SRI,6
SYR,6
TKM,6
VAN,6
ANT,5
BAN,5
BEN,5
BIH,5
GAB,5
GUY,5
ISL,5
ISV,5
MDV,5
MLT,5
SLE,5
SMR,5
SUR,5
TOG,5
BAR,4
BOL,4
CAF,4
CAY,4
CGO,4
COM,4
DMA,4
HON,4
IVB,4
LAO,4
LCA,4
MHL,4
NAM,4
OMA,4
SUD,4
TGA,4
TLS,4
VIN,4
YEM,4
BHU,3
BRU,3
CAM,3
CHA,3
FSM,3
GEQ,3
KIR,3
LES,3
MAW,3
PLW,3
SEY,3
SKN,3
SOL,3
STP,3
SWZ,3
AND,2
ASA,2
COK,2
MTN,2
MYA,2
TUV,2
BIZ,1
LIE,1
NRU,1
SOM,1
