residence_country,number_atletes
United States,824
France,437
Germany,375
Spain,330
Great Britain,309
Australia,308
China,281
Italy,271
Japan,249
Netherlands,208
Canada,188
Brazil,140
Poland,133
Belgium,128
Switzerland,121
New Zealand,116
Hungary,114
Denmark,98
South Africa,89
Romania,82
Korea,81
Ireland,74
Argentina,73
India,72
Czechia,72
Portugal,69
Mexico,68
Sweden,65
Norway,63
Türkiye,61
Ukraine,58
Egypt,58
Austria,55
Uzbekistan,51
Israel,49
Kazakhstan,44
Greece,43
Finland,43
Kenya,42
Colombia,39
Cuba,38
Slovenia,37
Croatia,37
Thailand,33
Ethiopia,33
Jamaica,31
Lithuania,30
Chinese Taipei,30
Bulgaria,29
Serbia,28
Ecuador,28
Azerbaijan,23
Mongolia,21
Chile,21
Algeria,21
Indonesia,20
Russian Federation,19
Georgia,18
Venezuela,17
Slovakia,17
Estonia,17
Latvia,16
IR Iran,16
Angola,16
Andorra,16
Puerto Rico,15
Peru,15
Paraguay,15
"Hong Kong, China",14
Zambia,13
Republic of Moldova,13
Iraq,13
Dominican Republic,13
Morocco,12
Qatar,11
Monaco,11
Malaysia,11
UA Emirates,10
Philippines,10
Guatemala,10
Vietnam,9
Uganda,9
Uruguay,8
Tunisia,8
Jordan,8
Cyprus,8
Armenia,8
Singapore,7
Kyrgyzstan,7
Fiji,7
Bosnia & Herzegovina,7
Saudi Arabia,6
Tajikistan,5
Sri Lanka,5
Samoa,5
Nigeria,5
Mauritius,5
Kosovo,5
DPR Korea,5
Botswana,5
Tanzania,4
Pakistan,4
North Macedonia,4
Eritrea,4
Belarus,4
Nepal,3
Mozambique,3
Madagascar,3
Luxembourg,3
Lebanon,3
El Salvador,3
DR Congo,3
Costa Rica,3
"Virgin Islands, US",2
Vanuatu,2
Turkmenistan,2
Syria,2
Rwanda,2
Papua New Guinea,2
Panama,2
Nicaragua,2
Namibia,2
Montenegro,2
Malta,2
Kuwait,2
Iceland,2
Guinea,2
Djibouti,2
Cameroon,2
Cambodia,2
Burkina Faso,2
Bangladesh,2
Aruba,2
Zimbabwe,1
Yemen,1
"Virgin Islands, B",1
Trinidad and Tobago,1
Tonga,1
Togo,1
Suriname,1
Senegal,1
San Marino,1
Oman,1
Myanmar,1
Micronesia,1
Mauritania,1
Maldives,1
Malawi,1
Libya,1
Lesotho,1
Lao PDR,1
Guam,1
Grenada,1
Eswatini,1
Equatorial Guinea,1
Curaçao,1
Chad,1
Burundi,1
Bolivia,1
Bhutan,1
Bermuda,1
Bahrain,1
Bahamas,1
Antigua and Barbuda,1
Albania,1
